Name,Frame,Atribute,Type,Level,ATK,DEF,Icon,Rarity,Set,Text,Simple Frame,Number
Lost Blue Breaker,Effect Monster,WATER  ,Sea Serpent/Effect,3,1400,0,N/A,Comm,Attack from the Deep,If there is another face-up Fish(comma) Sea Serpent(comma) or Aqua monster on the field: You can Tribute this card(comma) then target 1 Spell/Trap on the field(comma) destroy that target.,Monster,SBAD-EN026
Fishborg Planter,Effect Monster,WATER  ,Fish/Effect,2,200,200,N/A,Comm,Attack from the Deep,"Once(comma) while this card is in the GY: You can send the top card of your Deck to the GY(comma) then(comma) if it is a WATER monster(comma) Special Summon this card from the GY. You can only use this effect of ""Fishborg Planter"" once per turn.",Monster,SBAD-EN027
Imairuka,Effect Monster,WATER  ,Sea Serpent/Effect,2,1000,1000,N/A,Comm,Attack from the Deep,If this card you control is destroyed by your opponent's card and sent to your GY: Send the top card of your Deck to the GY(comma) then(comma) if it is a WATER monster(comma) draw 1 card.,Monster,SBAD-EN028
Slushy,Effect Monster,WATER  ,Aqua/Effect,2,0,0,N/A,Comm,Attack from the Deep,"When this card is Normal Summoned: You can send 1 ""Slushy"" from your Deck to the GY. If you have 3 copies of ""Slushy"" total(comma) either banished and/or in your GY (combined): You can banish this card from your GY(comma) then target 1 Level 5 or higher Sea Serpent monster in your GY(comma) Special Summon that target. You can only use this effect of ""Slushy"" once per turn.",Monster,SBAD-EN029
Sinister Serpent,Effect Monster,WATER  ,Reptile/Effect,1,300,250,N/A,Comm,Attack from the Deep,"During your Standby Phase(comma) if this card is in your GY: You can add it to your hand(comma) also banish 1 ""Sinister Serpent"" from your GY during your opponent's next End Phase. You can only use this effect of ""Sinister Serpent"" once per turn.",Monster,SBAD-EN037
Theban Nightmare,Effect Monster,LIGHT  ,Fiend/Effect,4,1500,500,N/A,Comm,Attack from the Deep,Gains 1500 ATK while you have no cards in your hand nor in your Spell & Trap Zones.,Monster,SBAD-EN038
Infernity Beast,Effect Monster,DARK  ,Beast/Effect,3,1600,1200,N/A,Comm,Attack from the Deep,If this card attacks while you have no cards in your hand(comma) your opponent cannot activate any Spell or Trap Cards until after the Damage Step.,Monster,SBAD-EN039
Ryu Senshi,Fusion Monster,EARTH  ,Warrior/Fusion/Effect,6,2000,1200,N/A,SR,Attack from the Deep,"""Warrior Dai Grepher"" + ""Spirit Ryu"" A Fusion Summon of this card can only be done with the above Fusion Materials. When a Normal Trap Card is activated (Quick Effect): You can pay 1000 LP(comma) negate that effect. This card must be face-up on the field to activate and to resolve this effect. Negate the effects of any Spell Card that targets this card and destroy it.",Monster,SBAD-EN040
Mystical Elf,Normal Monster,LIGHT  ,Spellcaster/Normal,4,800,2000,N/A,Comm,Attack from the Deep,A delicate elf that lacks offense(comma) but has a terrific defense backed by mystical power.,Monster,SBAD-EN003
Axe Raider,Normal Monster,EARTH  ,Warrior/Normal,4,1700,1150,N/A,Comm,Attack from the Deep,An axe-wielding monster of tremendous strength and agility.,Monster,SBAD-EN009
Great White,Normal Monster,WATER  ,Fish/Normal,4,1600,800,N/A,Comm,Attack from the Deep,A giant white shark with razor-sharp teeth.,Monster,SBAD-EN021
High Tide Gyojin,Normal Monster,WATER  ,Aqua/Normal,4,1650,1300,N/A,Comm,Attack from the Deep,A very agile half-fish warrior known for its relentless attacks.,Monster,SBAD-EN022
Warrior Dai Grepher,Normal Monster,EARTH  ,Warrior/Normal,4,1700,1600,N/A,Comm,Attack from the Deep,The warrior who can manipulate dragons. Nobody knows his mysterious past.,Monster,SBAD-EN035
Sonic Duck,Normal Monster,WIND  ,Winged Beast/Normal,3,1700,700,N/A,Comm,Attack from the Deep,A duck which can walk at a sonic speed. Sometimes(comma) he cannot deal with his incredible pace and loses control.,Monster,SBAD-EN036
Arcane Barrier,Spell Card,N/A,N/A,N/A,N/A,N/A,Continuous Spell,Comm,Attack from the Deep,Each time a face-up Spellcaster monster(s) on the field is destroyed(comma) place 1 Spell Counter on this card (max. 4). You can send this card and 1 face-up Spellcaster monster you control to the GY(comma) draw 1 card for each Spell Counter that was on this card.,Spell/Trap,SBAD-EN005
Fusion Recovery,Spell Card,N/A,N/A,N/A,N/A,N/A,Normal Spell,Comm,Attack from the Deep,"Target 1 ""Polymerization"" in your GY(comma) and 1 monster in your GY that was used as material for a Fusion Summon(comma) add them to your hand.",Spell/Trap,SBAD-EN010
Fulfillment of the Contract,Spell Card,N/A,N/A,N/A,N/A,N/A,Equip Spell,Comm,Attack from the Deep,Activate this card by paying 800 LP(comma) then target 1 Ritual Monster in your GY(comma) Special Summon it and equip it with this card. When this card is destroyed(comma) banish the equipped monster.,Spell/Trap,SBAD-EN014
Sword of Dark Destruction,Spell Card,N/A,N/A,N/A,N/A,N/A,Equip Spell,Comm,Attack from the Deep,Equip only to a DARK monster. It gains 400 ATK and loses 200 DEF.,Spell/Trap,SBAD-EN019
Pyramid of Wonders,Spell Card,N/A,N/A,N/A,N/A,N/A,Continuous Spell,Comm,Attack from the Deep,All Zombie monsters you control gain 200 ATK for each monster your opponent controls. If exactly 1 Zombie monster you control (and no other cards) would be destroyed(comma) you can send this card to the GY instead.,Spell/Trap,SBAD-EN020
Power of Kaishin,Spell Card,N/A,N/A,N/A,N/A,N/A,Equip Spell,Comm,Attack from the Deep,Equip only to an Aqua monster. It gains 300 ATK/DEF.,Spell/Trap,SBAD-EN030
Umi,Spell Card,N/A,N/A,N/A,N/A,N/A,Field Spell,Comm,Attack from the Deep,All Fish(comma) Sea Serpent(comma) Thunder(comma) and Aqua monsters on the field gain 200 ATK/DEF(comma) also all Machine and Pyro monsters on the field lose 200 ATK/DEF.,Spell/Trap,SBAD-EN031
Big Wave Small Wave,Spell Card,N/A,N/A,N/A,N/A,N/A,Normal Spell,Comm,Attack from the Deep,Destroy all face-up WATER monsters you control(comma) then you can Special Summon WATER monsters from your hand(comma) up to the number of monsters destroyed by this effect.,Spell/Trap,SBAD-EN032
Water Hazard,Spell Card,N/A,N/A,N/A,N/A,N/A,Continuous Spell,Comm,Attack from the Deep,Once per turn: You can Special Summon 1 Level 4 or lower WATER monster from your hand. You must control no monsters to activate and to resolve this effect.,Spell/Trap,SBAD-EN033
Moray of Greed,Spell Card,N/A,N/A,N/A,N/A,N/A,Normal Spell,Comm,Attack from the Deep,Shuffle 2 WATER monsters from your hand into the Deck(comma) then draw 3 cards.,Spell/Trap,SBAD-EN034
Warrior Elimination,Spell Card,N/A,N/A,N/A,N/A,N/A,Normal Spell,Comm,Attack from the Deep,Destroy all Warrior monsters on the field.,Spell/Trap,SBAD-EN041
Mask of the Accursed,Spell Card,N/A,N/A,N/A,N/A,N/A,Equip Spell,Comm,Attack from the Deep,The equipped monster cannot attack. Once per turn(comma) during your Standby Phase: Inflict 500 damage to the controller of the equipped monster.,Spell/Trap,SBAD-EN042
Robbin' Zombie,Trap Card,N/A,N/A,N/A,N/A,N/A,Continuous Trap,Comm,Attack from the Deep,If your monster inflicts battle damage to your opponent: Send the top card of their Deck to the GY.,Spell/Trap,SBAD-EN016
Dust Tornado,Trap Card,N/A,N/A,N/A,N/A,N/A,Normal Trap,SR,Attack from the Deep,Target 1 Spell/Trap your opponent controls(comma) destroy that target(comma) then you can Set 1 Spell/Trap from your hand.,Spell/Trap,SBAD-EN043
Ready for Intercepting,Trap Card,N/A,N/A,N/A,N/A,N/A,Normal Trap,Comm,Attack from the Deep,Target 1 Warrior or Spellcaster monster on the field(comma) change that target to face-down Defense Position.,Spell/Trap,SBAD-EN044
The Forceful Checkpoint,Trap Card,N/A,N/A,N/A,N/A,N/A,Normal Trap,UR,Attack from the Deep,When an opponent's monster declares an attack: Look at your opponent's hand(comma) and if there is a Monster Card(comma) negate the attack(comma) then discard 1 monster from their hand (your choice).,Spell/Trap,SBAD-EN045
